id,Compound,smiles,CAS_RN,logS,Ref_logS,mp,Ref_mp,logPN,Ref_logP,GSE,diff_logS
SolCbio3-46,"4,4'-Dibromobiphenyl",Brc1ccc(-c2ccc(Br)cc2)cc1,92-86-4,-7.74,10.1016/S0045-6535(02)00118-2,170,10.1016/S0045-6535(02)00118-2,5.72,Kenneth,-6.67,1.07
SolCbio3-47,"2,3-Benzofluorene",c1ccc2c(c1)Cc1cc3ccccc3cc1-2,243-17-4,-7.73,10.1016/S0045-6535(02)00118-2,208,10.1016/S0045-6535(02)00118-2,5.77,Kenneth,-7.1,0.63
SolCbio3-48,"2,20,3,4,40,50-Hexachlorobiphenyl",Clc1cc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl,35065-28-2,-7.69,10.1016/S0045-6535(02)00118-2,80,10.1016/S0045-6535(02)00118-2,7.44,Kenneth,-7.49,0.2
SolCbio3-49,"2,2',3,4,5,5'-Hexachlorobiphenyl",Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1,52712-04-6,-7.68,10.1016/S0045-6535(02)00118-2,85,10.1016/S0045-6535(02)00118-2,7.19,Kenneth,-7.29,0.39
SolCbio3-50,"2,3,3',4,4'-Pentachlorodiphenyl ether",Clc1ccc(Oc2ccc(Cl)c(Cl)c2Cl)cc1Cl,85918-31-6,-7.67,10.1016/S0045-6535(02)00118-2,65,10.1016/S0045-6535(02)00118-2,6.51,Kenneth,-6.41,1.26
SolCbio3-51,Dodecane,CCCCCCCCCCCC,112-40-3,-7.67,10.1016/S0045-6535(02)00118-2,-10,10.1016/S0045-6535(02)00118-2,6.1,Kenneth,-5.25,2.42
SolCbio3-52,"2,2',4,4',5,5'-Hexachlorobiphenyl",Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,35065-27-1,-7.63,10.1016/S0045-6535(02)00118-2,103,10.1016/S0045-6535(02)00118-2,7.05,Kenneth,-7.33,0.3
SolCbio3-53,Chrysene,c1ccc2c(c1)ccc1c3ccccc3ccc21,218-01-9,-7.58,10.1016/S0045-6535(02)00118-2,256,10.1016/S0045-6535(02)00118-2,5.81,Kenneth,-7.62,0.04
SolCbio3-54,Hexachlorobenzene,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,118-74-1,-7.56,10.1016/S0045-6535(02)00118-2,227,10.1016/S0045-6535(02)00118-2,5.73,Kenneth,-7.25,0.31
SolCbio3-55,"1,2,4-Trichlorodibenzo-p-dioxin",Clc1cc(Cl)c2c(c1Cl)Oc1ccccc1O2,39227-58-2,-7.53,10.1016/S0045-6535(02)00118-2,129,10.1016/S0045-6535(02)00118-2,6.35,Kenneth,-6.89,0.64
SolCbio3-56,"2,2',3,4,4'-Pentachlorodiphenyl ether",Clc1ccc(Oc2ccc(Cl)c(Cl)c2Cl)c(Cl)c1,71585-37-0,-7.44,10.1016/S0045-6535(02)00118-2,66,10.1016/S0045-6535(02)00118-2,6.28,Kenneth,-6.19,1.25
SolCbio3-57,"3,4-Dichlorobiphenyl",Clc1ccc(-c2ccccc2)cc1Cl,2974-92-7,-7.44,10.1016/S0045-6535(02)00118-2,50,10.1016/S0045-6535(02)00118-2,5.29,Kenneth,-5.04,2.4
SolCbio3-58,"2,2',6,6'-Tetrachlorobiphenyl",Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl,15968-05-5,-7.39,10.1016/S0045-6535(02)00118-2,198,10.1016/S0045-6535(02)00118-2,5.94,Kenneth,-7.17,0.22
SolCbio3-59,"2,3',4,4',5-Pentachlorobiphenyl",Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,31508-00-6,-7.39,10.1016/S0045-6535(02)00118-2,109,10.1016/S0045-6535(02)00118-2,7.12,Kenneth,-7.46,0.07
SolCbio3-60,"2,4,6-Tribromobiphenyl",Brc1cc(Br)c(-c2ccccc2)c(Br)c1,59080-33-0,-7.3,10.1016/S0045-6535(02)00118-2,66,10.1016/S0045-6535(02)00118-2,6.03,Kenneth,-5.94,1.36
SolCbio3-61,"2,2',3,3'-Tetrachlorobiphenyl",Clc1cccc(-c2cccc(Cl)c2Cl)c1Cl,38444-93-8,-7.28,10.1016/S0045-6535(02)00118-2,121,10.1016/S0045-6535(02)00118-2,6.18,Kenneth,-6.64,0.64
SolCbio3-62,"2,3',4',5-Tetrachlorobiphenyl",Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,32598-11-1,-7.25,10.1016/S0045-6535(02)00118-2,104,10.1016/S0045-6535(02)00118-2,6.23,Kenneth,-6.52,0.73
SolCbio3-63,"1,2-Benzanthracene",c1ccc2cc3c(ccc4ccccc43)cc2c1,56-55-3,-7.19,10.1016/S0045-6535(02)00118-2,160,10.1016/S0045-6535(02)00118-2,5.76,Kenneth,-6.61,0.58
SolCbio3-64,"2,3,4,5-Tetrachlorobiphenyl",Clc1cc(-c2ccccc2)c(Cl)c(Cl)c1Cl,33284-53-6,-7.16,10.1016/S0045-6535(02)00118-2,91,10.1016/S0045-6535(02)00118-2,6.41,Kenneth,-6.57,0.59
SolCbio3-65,Dichlorodiphenyltrichloroethane,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,50-29-3,-7.15,10.1016/S0045-6535(02)00118-2,109,10.1016/S0045-6535(02)00118-2,6.91,Kenneth,-7.25,0.1
SolCbio3-66,p-Terphenyl,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,92-94-4,-7.11,10.1016/S0045-6535(02)00118-2,213,10.1016/S0045-6535(02)00118-2,6.03,Kenneth,-7.41,0.3
SolCbio3-67,"3,4,4'-Trichlorobiphenyl",Clc1ccc(-c2ccc(Cl)c(Cl)c2)cc1,38444-90-5,-7.06,10.1016/S0045-6535(02)00118-2,88,10.1016/S0045-6535(02)00118-2,5.9,Kenneth,-6.03,1.03
SolCbio3-68,"1,2,4,5-Tetrabromobenzene",Brc1cc(Br)c(Br)cc1Br,636-28-2,-6.98,10.1016/S0045-6535(02)00118-2,182,10.1016/S0045-6535(02)00118-2,5.13,Kenneth,-6.2,0.78
SolCbio3-69,"3,3',4,4'-Tetrachlorodiphenyl ether",Clc1ccc(Oc2ccc(Cl)c(Cl)c2)cc1Cl,56348-72-2,-6.98,10.1016/S0045-6535(02)00118-2,70,10.1016/S0045-6535(02)00118-2,6.36,Kenneth,-6.31,0.67
