,Unnamed: 0,DATABASE_ID,NAME,SMILES,logP,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methy,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phos_acid,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophen,fr_unbrch_alkane,fr_urea,MW,MR,HBA,HBD,RotBonds,AromRings,AliphRings,PSA,C,Cl,F,Br,I,SMILES_standard
20,20,ENV21,IMIPRAMINE,CN(C)CCCN1c2ccccc2CCc2ccccc21,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.415,90.46900000000008,2,0,4,2,1,6.48,19,0,0,0,0,CN(C)CCCN1c2ccccc2CCc2ccccc21
21,21,ENV22,THIORIDAZINE,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,370.5870000000001,110.68000000000006,4,0,4,2,2,6.48,21,0,0,0,0,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
22,22,ENV23,CHLORPROMAZINE,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,5.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.8730000000001,92.19400000000006,3,0,4,2,1,6.48,17,1,0,0,0,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
23,23,ENV24,Cephaloridine (zwitterion form),O=C(Cc1cccs1)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12,-1.62,1,0,0,0,0,1,0,0,1,3,3,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,415.49600000000015,101.7157,6,1,6,2,2,93.41999999999996,19,0,0,0,0,O=C(Cc1cccs1)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12
24,24,ENV25,"SORBITOL, MANNITOL, GALACTITOL",OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,-2.8,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.172,38.198800000000006,6,6,5,0,0,121.38,6,0,0,0,0,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO
25,25,ENV26,ALLOXANE,O=C1NC(=O)C(=O)C(=O)N1,-1.84,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,142.07,26.6884,4,2,0,0,1,92.34,4,0,0,0,0,O=C1NC(=O)C(=O)C(=O)N1
26,26,ENV27,ACETYLSALICYLIC ACID,CC(=O)Oc1ccccc1C(=O)O,1.19,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.159,44.71030000000002,3,1,2,1,0,63.6,9,0,0,0,0,CC(=O)Oc1ccccc1C(=O)O
27,27,ENV28,ASCORBIC ACID,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,-1.85,0,4,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.124,35.25619999999999,6,4,2,0,1,107.22,6,0,0,0,0,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O
28,28,ENV29,4-METHYLSALICYLIC ACID,Cc1ccc(C(=O)O)c(O)c1,2.99,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.14899999999997,39.80310000000001,2,2,1,1,0,57.53,8,0,0,0,0,Cc1ccc(C(=O)O)c(O)c1
29,29,ENV30,"BENZOIC ACID, 4-(ACETYLAMINO)-2-HYDROXY",CC(=O)Nc1ccc(C(=O)O)c(O)c1,1.62,0,0,0,0,1,0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.174,49.36980000000001,3,3,2,1,0,86.63,9,0,0,0,0,CC(=O)Nc1ccc(C(=O)O)c(O)c1
