"","SMILES_Solute","Temperature_K","Solvent","SMILES_Solvent","Solubility(mole_fraction)","Solubility(mol/L)","LogS(mol/L)","Compound_Name","CAS","PubChem_CID","FDA_Approved","Source"
"437","O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Oc2ccc(C(F)(F)F)cc2Cl)cc1F",298.15,"water","O",7.716e-07,4.27046557652338e-05,-4.36952477455517,"Flufenoxuron","101463-69-8",91766,"No","10.1021/acs.jced.1c00430"
"438","CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1.Cl",298.15,"water","O",0.00118,0.0653848977263612,-1.18452255124011,"Labetalol hydrochloride","32780-64-6",71412,"Yes","10.1021/acs.jced.1c00432"
"439","O=C(O)CSc1ccc2ccccc2c1",298.15,"water","O",3.875e-06,0.00021446481939422,-3.66864393889206,"(2-naphthylthio)acetic acid","93-21-0",66728,"No","10.1021/acs.jced.1c00482"
"440","COC(=O)CC[C@H](N)C(=O)O",298.15,"water","O",0.04257,2.46081683964121,0.391079290056574,"L-glutamic acid 5-methyl ester","1499-55-4",68662,"No","10.1021/acs.jced.1c00504"
"441","Nc1cnc(Cl)cn1",298.15,"water","O",8.878e-05,0.0049140137848782,-2.30856362956368,"5-chloropyrazin-2-amine","33332-29-5",12808419,"No","10.1021/acs.jced.1c00515"
"442","CO/N=C1\C[C@]2(C[C@@H]3C[C@@H](C/C=C(\C)C[C@@H](C)/C=C/C=C4\CO[C@@H]5[C@H](O)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)O[C@H](/C(C)=C/C(C)C)[C@H]1C",298.15,"water","O",1.083e-05,0.00059939874794139,-3.22228416856874,"Moxidectin","113507-06-5",16760141,"Yes","10.1021/acs.jced.1c00517"
"443","NC(N)=NCCC[C@H](N)C(=O)O.O=C(O)CCC(=O)C(=O)O",293.15,"water","O",0.016037,0.903092033203484,-0.0442679889160299,"L-arginine a-ketoglutarate","16856-18-1",11427178,"No","10.1021/acs.jced.1c00531"
"444","O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(F)c(Cl)c1F",298.15,"water","O",9.72e-06,0.00053796393009183,-3.26924684233961,"Teflubenzuron","83121-18-0",91734,"No","10.1021/acs.jced.1c00537"
"445","CC(C)(C)OC(=O)N[C@@H](CC(N)=O)C(=O)O",298.15,"water","O",0.000452,0.0250274989407619,-1.60158254833414,"Boc-L-asparagine","7536-55-2",82035,"No","10.1021/acs.jced.1c00559"
"446","NC(=O)C[C@H](NC(=O)OCc1ccccc1)C(=O)O",298.15,"water","O",5.553e-05,0.00307350880683163,-2.512365538114,"N-benzyloxycarbonyl-L-asparagine","2304-96-3",75314,"No","10.1021/acs.jced.1c00627"
"447","CCn1c2ccccc2c2cc(-n3nncc3-c3ccccc3)ccc21",298.15,"water","O",1.956e-06,0.00010825609850996,-3.96554762869635,"MBQ-167","2097938-73-1",129896932,"No","10.1021/acs.jced.1c00711"
"448","CC(=O)Nc1ccc([N+](=O)[O-])cc1",298.15,"water","O",1.683e-05,0.00093148120555475,-3.0308259034153,"p-Nitroacetanilide","104-04-1",7691,"No","10.1021/acs.jced.1c00717"
"449","COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-]",298.15,"water","O",1.172e-05,0.00064865739410479,-3.18798462698554,"Nisoldipine","63675-72-9",4499,"Yes","10.1021/acs.jced.1c00729"
"450","CC(=O)OC(OC(C)=O)c1ccc([N+](=O)[O-])o1",298.15,"water","O",0.0584,3.43264639987776,0.535629068648256,"2-(diacetoxymethyl)-5-nitrofuran","92-55-7",7097,"No","10.1021/acs.jced.1c00750"
"451","NC(N)=NCCC[C@H](NC(=O)OCc1ccccc1)C(=O)O",293.15,"water","O",0.0003074,0.0170382519355531,-1.76857496436311,"Na-carbobenzyloxy-L-arginine","1234-35-1",71055,"No","10.1021/acs.jced.1c00823"
"452","CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1",298.15,"water","O",5.051e-05,0.00279564470509981,-2.55351802334812,"Sofosbuvir","1190307-88-0",45375808,"Yes","10.1021/acs.jced.1c00860"
"453","O=C(O)c1cc([N+](=O)[O-])ccc1O",298.15,"water","O",8.618e-05,0.0047700901871217,-2.32147340976512,"5-nitroSalicylic acid","96-97-9",7318,"No","10.1021/acs.jced.2c00038"
"454","Nc1ncc(Br)nc1Br",298.15,"water","O",5.183e-06,0.00028685744848074,-3.5423338688351,"2-amino-3,5-dibromopyrazine","24241-18-7",620004,"No","10.1021/acs.jced.2c00072"
"455","Nc1nccnc1Cl",298.15,"water","O",7.6e-05,0.00420658114895999,-2.37607072871304,"2-amino-3-chloropyrazine","6863-73-6",276224,"No","10.1021/acs.jced.2c00072"
"456","CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1.Cl",298.15,"water","O",0.05143,3.00074996978009,0.477229810397011,"Dyclonine hydrochloride","536-43-6",68304,"Yes","10.1021/acs.jced.2c00089"
"457","O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)OCc1ccccc1",298.15,"water","O",7.789e-05,0.00431120032895232,-2.36540179627458,"N-benzyloxycarbonyl-L-tryptophan","7432-21-5",101176,"No","10.1021/acs.jced.2c00108"
"458","CC(C)(C)OC(=O)N[C@@H](CCC(N)=O)C(=O)O",298.15,"water","O",0.012623,0.70755832809275,-0.150237752941934,"Boc-L-glutamine","13726-85-7",83687,"No","10.1021/acs.jced.2c00162"
"459","NC(=O)Nc1ccccc1",298.15,"water","O",0.0008279,0.0458585433071547,-1.33857974471537,"1-phenylurea","64-10-8",6145,"No","10.1021/acs.jced.2c00175"
