"","descs","meanYES","meanNO","diff_m","rsdYES","rsdNO","diff_rsd","welchs_p"
"34","SlogP_VSA11_rdkit",2.26886616115414,1.72757278518388,0.541293375970258,0.154322483341713,0.0942207269948926,0.180811985941749,0.00279697269736446
"35","EState_VSA2_rdkit",10.5515147750891,7.66664223437528,2.88487254071385,0.391990247361781,0.21731542797246,0.448199006314833,1.62695555155564e-10
"36","EState_VSA5_rdkit",12.2355706784065,8.95221873220591,3.28335194620063,0.492614003264821,0.2815996967457,0.567421312095222,8.65311360661091e-09
"37","EState_VSA7_rdkit",9.66600954917611,11.9113754082341,2.24536585905804,0.503199119467627,0.377232760083244,0.62889896574332,0.000365049643108452
"38","VSA_EState1_rdkit",10.3401852962313,6.00627589953634,4.33390939669498,0.471304311361699,0.261580816042698,0.53902901334686,1.76759217584733e-15
"39","VSA_EState3_rdkit",7.84215009016414,6.39123272079872,1.45091736936543,0.393697071669061,0.198745074431107,0.441018127576883,0.00102630539102436
"40","VSA_EState5_rdkit",-0.246899799632775,-0.00987909623485581,0.237020703397919,0.0538096033142247,0.0264359858897555,0.0599527710685468,8.08299352112524e-05
"41","VSA_EState8_rdkit",2.71994278447177,2.30466822978179,0.415274554689976,0.117154748336761,0.0685673895890913,0.135745062425534,0.00225575674477122
"42","FractionCSP3_rdkit",0.44085723080261,0.371308474975937,0.0695487558266725,0.0110601310903712,0.0077257027577282,0.0134912187306027,2.80365431075452e-07
"43","NumAtomStereoCenters_rdkit",0.847207586933614,0.646566164154104,0.20064142277951,0.0770202677397827,0.0413340556186843,0.0874106732418662,0.0218477423268231
"44","NumSaturatedHeterocycles_rdkit",0.220231822971549,0.164154103852596,0.0560777191189527,0.0181685449309029,0.0105930072151747,0.0210311156805097,0.00774349989898176
"45","NumSpiroAtoms_rdkit",0.00737618545837724,0.0156337241764377,0.00825753871806051,0.00277909946302407,0.00303664816584884,0.00411638505348246,0.0449578305530753
"46","fr_COO2_rdkit",0.145416227608008,0.107202680067002,0.0382135475410068,0.015492510262501,0.00804355350909289,0.0174561343741201,0.0287448859623098
"47","fr_NH2_rdkit",0.191780821917808,0.151312116136237,0.0404687057815715,0.0158879316459734,0.009510875784814,0.0185171037201093,0.0289951143166182
"48","fr_Ndealkylation1_rdkit",0.0800842992623814,0.0424343941931882,0.0376499050691933,0.0136617285777992,0.00476449369962521,0.0144686982119064,0.00937949901668957
"49","fr_aldehyde_rdkit",0.00948366701791359,0.0195421552205472,0.0100584882026336,0.00348311306472674,0.00336569565587813,0.0048435507501901,0.0379364942128019
"50","fr_alkyl_halide_rdkit",0.31190727081138,0.203238414293691,0.10866885651769,0.0350254251686765,0.0191853885735149,0.0399356925940106,0.00658036065532547
"51","fr_dihydropyridine_rdkit",0.0105374077976818,0.0033500837520938,0.00718732404558797,0.00331636570225352,0.00136575448093918,0.00358658148844954,0.0452864247469279
"52","fr_ester_rdkit",0.233930453108535,0.146286990508096,0.0876434626004393,0.0184446870177555,0.00985995990262213,0.0209147146398002,2.94532603636213e-05
"53","fr_ether_rdkit",0.648050579557429,0.426577331099944,0.221473248457485,0.0347510055752728,0.0185914889721688,0.0394116207570167,2.27882675928815e-08
"54","fr_furan_rdkit",0.0189673340358272,0.00837520938023451,0.0105921246555927,0.0044303772871552,0.00215399657750564,0.00492625051762968,0.0317141260918727
"55","fr_hdrzone_rdkit",0.00948366701791359,0.0016750418760469,0.00780862514186669,0.00348311306472674,0.00096654545560115,0.00361473190422379,0.0309716487347284
"56","fr_imidazole_rdkit",0.0569020021074816,0.029034059184813,0.0278679429226686,0.0080932129260276,0.00412273108483163,0.00908278630508597,0.00219325986500399
"57","fr_imide_rdkit",0.0316122233930453,0.0675600223338917,0.0359477989408464,0.00641750777790502,0.00799314009592339,0.0102505948448141,0.000460720870228374
"58","fr_ketone_Topliss_rdkit",0.0495258166491043,0.0737018425460637,0.0241760258969593,0.00847855483675987,0.00661470058303187,0.0107536112968205,0.0246707022143045
"59","fr_lactam_rdkit",0.0147523709167545,0.00446677833612507,0.0102855925806294,0.003915610119065,0.00157615369245717,0.00422093154016629,0.0149550128671877
"60","fr_nitroso_rdkit",0,0.00558347292015634,0.00558347292015634,0,0.00176120479178511,0.00176120479178511,0.00154881021087927
"61","fr_para_hydroxylation_rdkit",0.126448893572181,0.170295924064768,0.043847030492587,0.0133702963870832,0.0110445301968021,0.0173420434997299,0.0115304418269096
"62","fr_piperzine_rdkit",0.0347734457323498,0.016750418760469,0.0180230269718808,0.0059502378426605,0.00303331982813988,0.00667879926064675,0.00704505598133357
"63","fr_sulfide_rdkit",0.053740779768177,0.0234505862646566,0.0302901935035204,0.00804720488700426,0.00374718109592767,0.00887687290993303,0.000663049019390742
"64","fr_sulfonamd_rdkit",0.083245521601686,0.0469011725293132,0.0363443490723728,0.00980119232239709,0.00547391014723168,0.0112261775881456,0.00123143731007385
"65","fr_sulfone_rdkit",0.0316122233930453,0.0139586823003908,0.0176535410926545,0.0056826119719759,0.00288325274809864,0.00637222294285614,0.00567046937408644
"66","fr_urea_rdkit",0.035827186512118,0.0547180346175321,0.0188908481054141,0.00621783544444686,0.00543322418806199,0.00825720307924914,0.0222413070902895
"67","PEOE_VSA_2_rdkit",4.7472645999247,4.16697949595344,0.580285103971259,0.225564083915511,0.129925693719471,0.260307206663836,0.0259378387653179
